                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.96555,                0.88335,                  1.069,                0.63676,                0.71407,                0.69451,                0.46122,                 1.1676,                 1.1631,                 1.2358,              0.0005149,              0.0005149,              0.0005149
                     51,                0.94688,                  0.846,                 1.0609,                 0.6407,                0.63438,                0.65997,                0.44795,                 1.1813,                 1.2471,                 1.2497,               0.000505,               0.000505,               0.000505
                     52,                0.96045,                0.87784,                 1.0653,                0.59906,                0.62969,                0.61588,                0.40726,                 1.1944,                 1.2807,                 1.2617,              0.0004951,              0.0004951,              0.0004951
                     53,                0.92877,                0.84495,                 1.0563,                0.62672,                0.61914,                0.66481,                0.43271,                 1.1823,                 1.2388,                 1.2599,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.9547,                0.83522,                 1.0649,                0.54066,                0.69998,                0.63326,                0.42222,                 1.1818,                  1.219,                 1.2619,              0.0004753,              0.0004753,              0.0004753
                     55,                0.94593,                0.83012,                 1.0616,                 0.6394,                0.64095,                0.64335,                0.43263,                 1.1908,                 1.2932,                 1.2606,              0.0004654,              0.0004654,              0.0004654
                     56,                0.94216,                0.81604,                 1.0585,                 0.5427,                0.70362,                0.65201,                 0.4378,                 1.1763,                 1.2587,                 1.2591,              0.0004555,              0.0004555,              0.0004555
                     57,                0.92503,                 0.8023,                 1.0506,                0.58036,                0.72869,                0.69071,                 0.4621,                 1.1983,                 1.1854,                 1.2728,              0.0004456,              0.0004456,              0.0004456
                     58,                0.92011,                0.79592,                 1.0491,                0.53202,                0.70258,                0.65942,                0.43559,                 1.1972,                 1.2694,                 1.2774,              0.0004357,              0.0004357,              0.0004357
                     59,                0.92435,                0.79538,                 1.0513,                0.50046,                0.72348,                 0.6172,                0.41175,                 1.1942,                 1.3239,                 1.2802,              0.0004258,              0.0004258,              0.0004258
                     60,                0.91649,                0.78077,                 1.0458,                0.55751,                0.64171,                0.65529,                 0.4325,                 1.1861,                 1.3099,                 1.2754,              0.0004159,              0.0004159,              0.0004159
                     61,                0.92284,                0.76688,                 1.0485,                0.57331,                0.66487,                 0.6386,                0.41852,                  1.219,                  1.308,                 1.2928,               0.000406,               0.000406,               0.000406
                     62,                0.90174,                0.75612,                  1.039,                0.59931,                0.70437,                0.68435,                0.45923,                  1.195,                 1.2202,                 1.2721,              0.0003961,              0.0003961,              0.0003961
                     63,                 0.8894,                0.75745,                 1.0452,                0.57532,                0.70114,                0.62641,                0.42417,                 1.2107,                  1.283,                 1.3064,              0.0003862,              0.0003862,              0.0003862
                     64,                0.88169,                0.73604,                 1.0367,                0.65369,                 0.6739,                0.68333,                0.45997,                 1.2048,                 1.2462,                  1.301,              0.0003763,              0.0003763,              0.0003763
                     65,                0.88473,                0.71534,                 1.0344,                0.52092,                0.72519,                0.63693,                0.44696,                 1.1983,                 1.3046,                 1.2837,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.8677,                0.71935,                 1.0206,                0.62684,                0.69095,                0.68755,                0.46946,                 1.2021,                 1.2235,                 1.2962,              0.0003565,              0.0003565,              0.0003565
                     67,                0.85324,                 0.7003,                 1.0183,                0.63996,                0.65546,                0.65075,                0.44284,                 1.1725,                 1.2748,                  1.276,              0.0003466,              0.0003466,              0.0003466
                     68,                0.86535,                 0.7224,                 1.0254,                0.62384,                0.67612,                0.67495,                0.45619,                 1.1833,                 1.2661,                 1.2837,              0.0003367,              0.0003367,              0.0003367
                     69,                0.86957,                0.69854,                 1.0208,                0.65331,                0.69713,                0.68283,                0.47807,                 1.1935,                 1.2436,                  1.311,              0.0003268,              0.0003268,              0.0003268
                     70,                0.86145,                0.71161,                 1.0207,                0.66059,                0.64046,                0.67378,                0.46975,                  1.197,                  1.283,                 1.2808,              0.0003169,              0.0003169,              0.0003169
                     71,                0.84922,                0.66628,                 1.0103,                0.58471,                0.74016,                 0.6794,                  0.458,                 1.1794,                 1.2515,                 1.2661,               0.000307,               0.000307,               0.000307
                     72,                 0.8553,                 0.6723,                 1.0168,                0.59618,                0.74629,                0.70887,                0.48359,                 1.1852,                 1.2539,                 1.2657,              0.0002971,              0.0002971,              0.0002971
                     73,                0.82328,                0.67037,                 1.0017,                0.58483,                0.75344,                0.69399,                0.47712,                 1.1894,                 1.2319,                 1.2902,              0.0002872,              0.0002872,              0.0002872
                     74,                0.83621,                0.65521,                 1.0118,                0.64138,                0.72891,                0.68955,                0.47674,                 1.1728,                 1.2298,                  1.289,              0.0002773,              0.0002773,              0.0002773
