                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.70595,                0.50591,                0.94779,                0.76534,                0.79406,                0.82267,                0.60398,                 1.0013,                0.77754,                 1.0976,              0.0003169,              0.0003169,              0.0003169
                     71,                0.68902,                0.50228,                0.94671,                0.79285,                0.77283,                0.81431,                0.59327,                 1.0187,                0.77011,                 1.1051,               0.000307,               0.000307,               0.000307
                     72,                0.68575,                 0.5006,                0.94767,                0.81479,                0.77727,                0.83784,                0.61663,                0.99257,                 0.7526,                 1.0903,              0.0002971,              0.0002971,              0.0002971
                     73,                0.67445,                0.49407,                0.93954,                0.81746,                0.74195,                0.82101,                0.60696,                 1.0148,                0.76034,                 1.1008,              0.0002872,              0.0002872,              0.0002872
                     74,                0.67864,                0.49164,                0.94089,                0.82074,                0.72658,                0.81853,                0.59558,                 1.0104,                0.77521,                 1.1121,              0.0002773,              0.0002773,              0.0002773
                     75,                0.68131,                0.49775,                0.94323,                0.73864,                0.82199,                0.83035,                0.60237,                 1.0287,                0.75741,                 1.1071,              0.0002674,              0.0002674,              0.0002674
                     76,                0.67283,                0.48424,                0.94492,                0.76471,                 0.7726,                0.81682,                0.58856,                 1.0425,                 0.8023,                 1.1311,              0.0002575,              0.0002575,              0.0002575
                     77,                0.67758,                0.48673,                0.94134,                0.77614,                0.76424,                0.81729,                0.59969,                 1.0307,                 0.7858,                 1.1246,              0.0002476,              0.0002476,              0.0002476
                     78,                0.67866,                0.48714,                0.94197,                0.83502,                0.76989,                0.84281,                0.62126,                 1.0138,                0.74773,                 1.1173,              0.0002377,              0.0002377,              0.0002377
                     79,                0.64905,                0.47136,                0.92934,                0.78974,                0.75936,                0.82496,                0.61317,                 1.0067,                0.76541,                 1.1105,              0.0002278,              0.0002278,              0.0002278
                     80,                0.65626,                0.47166,                 0.9323,                0.80887,                 0.7636,                0.84007,                0.62171,                 1.0056,                0.74234,                 1.1244,              0.0002179,              0.0002179,              0.0002179
